Dept,CourseName,CourseNumber,Hours,GenEds,Prereqs,Description
Africana Studies,History of Jazz,AFRS 247,4 hours,"Human Expression—Primary Texts, Historical, Intercultural",,"A survey of the history and development of jazz, from the 1890s to the present. Includes origins and early jazz through the modern jazz era. Listening activities focus on the major figures of each historical period. Offered alternate years. (Same as MUS 247.)"
Africana Studies,African-American Literature,AFRS 251,4 hours,"Human Expression—Primary Texts, Intercultural",PAID 111 or transfer equivalent,"A survey of African-American literature with special attention to the intersection of race, class, and gender as writers engage with the struggle to achieve the democratic promises of freedom, justice and equality. Primary emphasis will be on literature written since 1920 when the Harlem Renaissance began. Includes authors such as Frederick Douglass, Harriet Jacobs, Langston Hughes, Richard Wright, Zola Neale Hurston, Ralph Ellison, James Baldwin, Alice Walker, and Toni Morrison. (Same as ENG 251 and WGST 251)"
Africana Studies,African Diaspora,AFRS 271,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",,"This course explores the global experiences of people of African descent. Students will study the human experiences of Africans in the Indian Ocean world, the trans-Saharan trade and the Trans-Atlantic slave trade. Geographical areas include Asia, the Caribbean, and Latin America. Particular attention will be given to the web of interrelated histories, social dynamics, political, and economic processes affecting and reflecting world cultures and histories. (Same as HIST 271)"
Africana Studies,Topics in African American History,AFRS 331,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"In-depth study of a selected topic in African American history.  Instruction in this course will require students to read and access monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  Topics may include but are not limited to:  Black Family History; Black Urban History; The Hip Hop Generation, 1975-2015."
Africana Studies,Constructs of Race and Racialization,AFRS 345,4 hours,"Human Behavior—Social Science Methods, Intercultural",SOC 101,"This course examines the social construction of race as a concept and the racialization of US society. An assessment of how racialization has changed over time and has created various interactions between groups from Whites and enslaved Africans, Mexicans and Native Americans to present day race relations. We also examine how racialization both determines and impacts social structures and the attainment of societal honors, rewards and power in modern society. (Same as SOC 345)"
Africana Studies,Topics in African History,AFRS 371,4 hours,"Human Behavior—Social Science Methods, Historical",PAID 112 or transfer equivalent,"In-depth study of a selected topic in African history. Instruction in this course will require students to read and assess monographs by African historians on the topic. Topics may include but are not limited to apartheid in South Africa and Zimbabwe, decolonization, nationalism, environmental history of sub-Saharan Africa. (Same as HIST 371)"
Africana Studies,Topics in Africana History,AFRS 391,4 hours,"Human Behavior—Social Science Methods, Historical, Intercultural",PAID 112 or transfer equivalent,"In-depth study of a selected topic in Africana history, emphasizing links between the African continent and the African diaspora.  Instruction in the course will require students to read and assess monographs written by prominent historians related to the topic.  This course will require intensive engagement with primary and secondary sources in writing.  AFRS 391/HIST 391 explores how people of African descent on the continent and in the diaspora interacted with each other and with European colonial powers.  The course explores interactions across empire and national boundaries as well as between different cultural groups.  Topics may include but are not limited to: Comparative Slavery, Pan-Africanism, Black Internationalism."
Africana Studies,Junior/Senior Seminar,AFRS 485,4 hours,,,
Africana Studies,Senior Project,AFRS 490,"1, 2, or 4 hours",,,
Anthropology,Cultural Anthropology,ANTH 101,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"A study in what it means to be human, this course uses the concept of culture to account for the tremendous variety of practices and beliefs throughout the world. Students will also examine patterns in human behavior, addressing cultural similarities as well as cultural differences. Course content provides insight into how cultural anthropologists do what they do - what methods they use to study culture and what ethical issues they may encounter while doing so. Students will be expected to engage some of these anthropological methods by completing a series of ethnographic exercises.  Through the study of anthropological works and practice with ethnographic methods, the course will prepare students to apply the anthropological approach as they navigate an increasingly diverse and globalized world."
Anthropology,Biological Anthropology,ANTH 102,4 hours,Human Behavior—Social Science Methods,,"Biological anthropology focuses primarily on the physical development of the human species.  This course serves as an introduction to the various lines of inquiry that comprise this sub-field of anthropology.  Primary topics include a survey of human biological and cultural evolution, genetics and the mechanics of evolution, non-human primates, and forensic anthropology."
Anthropology,Linguistic Anthropology,ANTH 103,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"An introduction to human language, with an emphasis on the relationship between language and culture. Topics include the origin and evolution of language, primate communication, language acquisition, language and society, and current issues in linguistic anthropology, such as linguistic human rights and language death. Students will gain hands-on-experience with the methods and techniques of descriptive and historical-comparative linguistics."
Anthropology,Archaeology,ANTH 104,4 hours,"Human Behavior—Social Science Methods, Historical",,"Archaeology is the study of the human past through material remains. This course introduces students to the fundamental techniques employed by archaeologists to reconstruct the past. In addition to exploring the basic methodological foundations of archaeology this course provides an overview of world archaeology, including major developments in human prehistory and significant archaeological sites."
Anthropology,Environmental Anthropology,ANTH 203,4 hours,"Human Behavior, Intercultural",,"The study of the environment in anthropology addresses problems that not only threaten our ecology but also human existence on the planet. This course will demonstrate the importance of anthropological theory and practice for solving environmental problems and for understanding people's responses to them. The course will begin by laying the theoretical foundations of environmental/ecological anthropology. Then it will be structured around what are seen in anthropology as the key environmental questions arising from increased interaction and unequal exchange among widely different cultures: population growth, economic development and underdevelopment, the loss of biodiversity, environmental management, the future of indigenous peoples, environmental campaigns and collaborations within the context of the politics of natural resources, and the connections between consumption and globalization."
Anthropology,This is Not Your Country: An Anthropology of Migration,ANTH 204,4 hours,"Human Behavior, Intercultural",,"This Is Not Your Country, is a course intended to capture the broadest possible spectrum of the migration experience: from the violence and suffering caused by practices social, economic, political, and cultural exclusion, to the sympathy and solidarity expressed in practices of inclusion. Students will engage in critical reading of contemporary ethnographies of migration to explore: (1) how global migration flows are shaping the lives of persons who move across national borders, and (2) how these people are affected by practices of social exclusion. The case studies will focus on undocumented migration between Latin America and the United States. From theory, we will move to practice by doing field visits to locations such as the Decorah Community Free Clinic, the Northeast Iowa Peace and Justice Center, and the town of Postville, IA, to learn about the local grassroots and civil society efforts of inclusion of migrants in our immediate community."
Anthropology,Religion and Culture,ANTH 205,4 hours,"Religion, Human Behavior, Intercultural",,"What is religion? When and how did it develop? Is religion a human universal? What features, if any, are common to all religions? How and why do religions change, and what happens when different systems of religious belief and practice come into contact? This introduction to the anthropology of religion explores these questions and others through in-depth case studies from the ethnographic literature, comparisons made across cultures, and the theoretical works of anthropologists and other scholars. Though some attention is given to the world's major religions, the course emphasizes the religious traditions of indigenous peoples around the globe.(Students may use this course to fulfill either the second Religion requirement or the Human Behavior requirement, but not both.)"
Anthropology,Medical Anthropology,ANTH 208,4 hours,"Human Behavior, Intercultural",,"Medical Anthropology explores health, illness, disease and medicine across the globe. Using anthropological principles, we explore interactions between various ethnomedical systems, including biomedicine; healers, healing professions and the production of medical knowledge; ideologies of the body; beginnings and ends of life; the role of new biomedical technologies and the pharmaceutical industry; the social construction of disease and disability; political and moral economics of health in the global context, among other topics.  We will discover how medical knowledge and practices are constructed culturally.  We will also learn to recognize how transnational exchanges of people, goods, ideas and capital influence our health and healing practices.  Our course will focus on some key texts in medical anthropology theory as well as new ethnographies that address intercultural encounters in medical settings."
Anthropology,Born to Run,ANTH 209,4 hours,Human Behavior,,"Humans possess a capacity for endurance running that is virtually unmatched in the natural world. Understanding this capacity requires consideration of its biological and cultural dimensions.  The physiology of long distance running can only be understood by studying the larger environmental and behavioral conditions under which it evolved.  Similarly, ethnographic accounts from diverse cultural groups provide essential insights for understanding the meanings of and reasons for running among modern humans.  This course uses each perspective to provide insight into the ""how"" and ""why"" of this phenomenon and will examine associated topics such as barefoot running, optimal running speed, and the relationship between genetics, gender, and running performance."
Anthropology,Qualitative Research Methods in Anthropology,ANTH 210,4 hours,Human Behavior—Social Science Methods,ANTH 101,"This course will introduce students to qualitative research methods in anthropology. The goal is to provide training and hands-on experience in designing a research project, carrying out ethnographic fieldwork, and analyzing the data. Students will get an opportunity to work on projects of their choice and select appropriate methodologies, including participant observation, different types of interviewing, and other systematic observation techniques. Students will learn how to construct interview schedules, administer sorting and ranking surveys, use time recall questionnaires, ethnographic taxonomies, life histories, genealogies, and focus groups. The writing component will include field notes, reports, and personal journals. Students will engage in multiple re-writes of their final reports, aided by peer review. In this process, we will pay special attention to ethics involving research with human subjects. Offered alternate years."
Anthropology,Quantitative Research Methods in Anthropology,ANTH 211,4 hours,Human Behavior—Social Science Methods,ANTH 102 OR ANTH 104,"Effectively understanding cultural behavior requires asking the right questions and correctly interpreting the resulting answers. Often, the best way to address these questions requires the collection of quantitative data. This course will use case studies from cultural anthropology, archaeology, and physical anthropology, as well as student-generated research as means for learning how to design anthropologically relevant research questions, identifying the appropriate ways of acquiring the data required to successfully address these questions, and evaluating the results. Finally, we will address the ethics of anthropological research."
Anthropology,Anthropology in East Africa: Culture Change Among the Maasai,ANTH 221,4 hours,"Human Behavior—Social Science Methods, Intercultural",,"The Maasai pastoralists of Tanzania and Kenya are experiencing rapid culture change in response to global, national, and local forces.  In this course we will study ""traditional"" Maasai culture and examine the ways in which the Maasai of northern Tanzania are adapting to changing social, political, economic, and environmental conditions. Topics to be explored include the shift from herding to agropastoralism; the tension between traditional and formal modes of education; the adoption of Christianity in place of or alongside traditional religion; changes in coming-of-age rituals; cultural dimensions of health, illness and healing; challenges to traditional gender ideology; the Maasai relationship to their environment; and the impacts of ecotourism, cultural tourism, and wildlife conservation programs on the pastoral way of life.  From bases near the city of Arusha and the small town of Monduli students will interact with Maasai people in urban and rural marketplaces; in schools, medical facilities, and places of worship; and at Maasai bomas (family compounds) in the bush.  We will also visit the Ngorongoro Crater Conservation area and the Oldoinyo Lengai volcano and pilgrimage routes in in order to explore the tension between pastoralism, wildlife conservation programs, and tourism.  Offered January term. (Same as AFRS 221)"
Anthropology,Pre-Columbian and Native American Art,ANTH 264,4 hours,"Human Expression—Primary Texts, Intercultural",,This course will examine the diverse artistic traditions of the Americas from the pre-contact period to the present day. Emphasis will be placed on situating artistic production within its cultural context and examining how pre-contact practices continue to inform contemporary artistic production. (Same as ART 264)
Anthropology,Experimental Archaeology,ANTH 301,4 hours,,ANTH 104,"The anthropological study of material culture and technology provides a wealth of information about human behavior. This course will use ethnographic analogy and experimental archaeology as tools for reconstructing a specific example of prehistoric technology. We will search for and analyze relevant ethnographic data, design and implement replicative experiments based on this data, and evaluate the effectiveness of the results for interpreting the archaeological record. In the process of recreating past technology we will explore how the analysis of material culture and technology can be used to understand topics such as cognition, social boundaries, gender, and symbolism."
Anthropology,Field Methods in Archaeology,ANTH 302,6 hours,Human Behavior—Social Science Methods,ANTH 104,"This is a hands-on experience in archaeological field techniques offered in the summer. Students will be instructed in the fundamental skills required to do field archaeology while conducting surveys, mapping, and excavations on real archaeological sites. This is a labor intensive course that requires students to participate in field work and data management procedures daily, possibly including some evenings (depending on weather conditions). This course is the equivalent of a full-time job and synthesizes classroom study with real world experiences.  Offered alternate summers (even years)."
Anthropology,Consumerism and Sustainability An Anthropological Perspective,ANTH 303,4 hours,"Intercultural, Human Behavior—Social Science Methods",ANTH 101,"Consumerism and Sustainability: An Anthropological Perspective. The world is in the midst of unprecedented social and cultural changes. One important dimension of this global change is the dramatic increase in the consumption of goods manufactured, designed and/or marketed by corporations based mainly in Europe and North America. The consumption of 'northern'goods of all kinds threatens the stability and diversity of the natural environment in many ways. Some also argue that, at the local level, consumption constitutes the greatest contemporary threat to the continued existence of local traditions, local cultures and local economic autonomy. In this course, we will pay special attention to some of the linkages between consumer culture and environmental problems, tracing the chains of cause and effect that connect particular kinds of consumption to specific places, resources, people, and interests. At the end of the course, we will discuss about the anti-consumption, sustainable consumption and other activist strategies for changing the direction of consumer society, possibly including a field visit to an off-the-grid farm in the Decorah area."
Anthropology,"Sugar, Strawberries and Pills: Anthropology of Commodity Chains",ANTH 306,4 hours,"Intercultural, Human Behavior",,"Our class will embark on an exploration of social histories of commodity chains, such as sugar, oil, diamonds, coffee, strawberries, pharmaceuticals, and others. We will explore the ways in which commodity flows connect people, places, images, ideologies, and capital around the globe in multidirectional, hierarchical, and uneven exchange. We will contextualize the large-scale political, economic, and cultural processes in the everyday realities of particular societies and everyday experiences of regular people. In other words, this course will study globalization from below. We will address questions such as: how do men and women around the world engage with various commodities? How is globalization implicated in people's wellbeing, occupations, family lives, intimacies, futures? Our class will challenge you to think about the interactions between the issues of social justice, human rights, and the anthropological dedication to cultural rights. Ultimately, we will consider what the commodity chains mean to stability and prosperity of various communities around the world, as well as challenge us to see where we are positioned in the flow of certain commodities."
Anthropology,Anthropological Theory,ANTH 401,4 hours,,"ANTH 101, 104 and junior standing","This course explores the rise of modern anthropology and the various schools of thought that have shaped the discipline, including an in-depth treatment of contemporary anthropological discourse. We will discuss the issues and approaches that define the anthropological approach as well as the ethical considerations involved in anthropological inquiry. The ultimate goal of this course is to provide students with comprehensive understanding of the field of anthropology and the skills required to negotiate current trends in the discipline. This course should be taken during the junior year."
Anthropology,Senior Project,ANTH 490,"1, 2, or 4 hours",,,
Art,Art Matters,ART 101,4 hours,Human Expression—Primary Texts,,"As an introduction to the visual arts, this course takes a global and thematic approach to focus on the way that artists across time and across cultures have engaged issues central to the human condition. Offered alternate years."
Art,Foundations: Circa Now,ART 103,2 hours,,,"This course introduces students to current art trends and theoretical preoccupations.  We will begin to investigate visual language, its purpose, and its cultural and historical import with an emphasis on contemporary art and critical theory that has informed art production in the last 75 years.  Students will endeavor to find a place for themselves within this tradition and critically reflect on their own artistic values and concerns."
Art,Foundations: Visual Thinking,ART 104,4 hours,Human Expression,,An introduction to the basic elements of visual language through a variety of studio projects and media that investigate the relationship of form and content.  Emphasis is on giving effective visible form to ideas.
Art,Science and the Aesthetic (Italy Semester),ART 105,4 hours,Human Expression,,"Communicating through graphical and visual means is an important skill that all scientists need to master.  In this course, students learn to translate their scientific understanding into illustrative visual representations and to make effective, aesthetically pleasing figures for presentations and publications.  Drawing from the cognitive sciences and making use of Italy's long art history, students explore the connections between art, science, and our sense of the aesthetic in order to develop their own skills in the visual communication of scientific information. Prerequisite:  Admission into Earth and Environment in Italy program."
Art,Foundations: Drawing,ART 108,4 hours,Human Expression,,This course introduces basic aesthetic and technical aspects of drawing to students as they work to address the challenge of thinking and creating two dimensionally.  Emphasis is on direct observation and translation of objects and environments into drawn images.
Art,Foundations: 3-DIMENSIONAL Processes,ART 111,4 hours,Human Expression,,"This course covers concepts of form and spatial relations of 3-dimensional problem solving through a variety of projects aimed at gaining sensitivity in the composition, observation, and analysis of sculptural form."
Art,"Sequential Art, Animation and the Graphic Novel",ART 114,4 hours,Human Expression,,"This studio course introduces students to the history, techniques and practice of sequential story telling from its beginnings to the contemporary graphic novel.  Students will produce short animations, sequential art, and graphic novelettes.  No prerequisite but ART 108 strongly encouraged."
Art,Scandinavian Fine Handcraft,ART 115,4 hours,Human Expression,,"Working in a variety of natural materials, which may include wood, horn, reindeer leather, or birch bark, students will produce traditional useful objects with a Scandinavian aesthetic. Use of Vesterheim's collection along with studio experience."
Art,World Pottery,ART 121,4 hours,Human Expression,,"Geared primarily toward non-majors, this course will balance the basic mechanics of wheel thrown pottery with an exploration of global traditions and practices in functional ceramics. Offered alternate years."
Art,Painting I,ART 200,4 hours,Human Expression,ART 108,"An introduction to painting techniques and color theory including a technical understanding of oil media.  A visual vocabulary and the start of personal investigations into life painting and conceptual problems will be explored using still life, landscape, and the human figure as subjects."
Art,Art and Technology,ART 205,4 hours,Quantitative,,"This studio course examines the intersection of art and technology with particular attention to the ways that software, video, and interaction are used to produce emerging art forms and genres. Instruction will focus on object-oriented programming, application and algorithm design."
Art,Graphic Design I,ART 206,4 hours,Human Expression,,This course introduces students to the use of raster and vector graphics applications as advanced art-making tools. Students will produce static 2-dimensional works of art that simultaneously explore 2-D design concepts and the cognitive processes of software learning. (Same as THE 206)
Art,3D Modeling and Animation,ART 207,4 hours,Human Expression,,"Course will cover computer based 3-D animation with emphasis on creative content, experimentation and critical thinking. Advanced software and hardware will be used to explore modeling, texturing, physics simulations, and animation. Offered alternate years."
Art,Life Drawing,ART 208,4 hours,Human Expression,ART 108,"This studio course provides students with a thorough understanding of the structural anatomy of the human figure with emphasis on proportion, weight distribution, form and mass."
Art,2D Studio I,ART 209,4 hours,Human Expression,ART 108,"This studio course broadens the approach of 2-D work through the intersection of painting, drawing, collage, and printmaking.  Technical methods and design problems will be investigated through the combination of multiple media.  Color theory and design practice will be employed to explore conceptual problems."
Art,Ceramics I,ART 210,4 hours,Human Expression,"Recommended 100 level Art course, ART 111 preferred.","This course is designed as survey of ceramic methods focusing on handbuilding processes, the basic mechanics of the potter's wheel, and a variety of surfacing and glazing techniques.  Aspects of ceramic history and contemporary practices will also be explored.  Assignments will focus on technical applications while engaging specific problems and ideas engendered in the material of clay and ceramic objects."
Art,Printmaking I,ART 216,4 hours,Human Expression,ART 108,An introduction to the aesthetic and technical considerations of the printed image through exploration of a variety of basic printmaking processes.
Art,Photography I,ART 218,4 hours,Human Expression,,"This course combines lectures with hands-on experience in digital photography.  Instruction includes technical aspects of digital photography, including camera function, exposure control, and creative control, as well as discussion on the contemporary and historical impact of the medium.  The format of the class includes lectures, visual presentations, lab time, individual research/presentations and a portfolio.  Students will examine why photography is important in today's art world.  A personal DSLR camera is highly recommended."
Art,Art and Community: Introductory Art Methods & Materials,ART 222,2 hours,,,"This seven-week course is designed to introduce students to the dynamic and rapidly changing field of art education, this course will familiarize students with current art education terminology and trends, explore various activities, materials, units, teaching techniques, and methods of art instruction. Practical teaching experiences are included with an emphasis on engaging learners of diverse populations and implementing social justice based curriculum. Required for students seeking K-12 art teaching certification, although open to everyone, this course provides students with a strong foundation in art education content, basic art concepts and methods with an emphasis on developmentally appropriate art education in both public school and community-based settings."
Art,Art in Elementary Schools,ART 228,2 hours,,EDUC 185 or  215,"Introduction to theories of creativity, developmental stages in art and methods of teaching visual art to children K-6.  Basics in appreciation, history, and criticism as well as use of materials will also be discussed."
Art,4D Art Lab I,ART 231,4 hours,Human Expression,,"This studio course introduces students to time-based media in the production of contemporary art.  Focusing on the way time engages and transforms Art production, students will explore digital video, performance art, and socially engaging art in a way that encourages disciplinary intersections."
Art,Art in Cultural Perspective,ART 290,4 hours,"Human Expression—Primary Texts, Intercultural",,"This course engages students in the study of visual culture - the interaction between differing cultures as interpreted throughout history. Students examine the intersection of art, cultural and aesthetic heritage past and present.  May be repeated for credit up to two times under different topics."
Art,Painting II,ART 300,4 hours,,ART 200,"This class will focus on contemporary issues of pictorial space, the development of imagery and the process of abstraction from observation. Personal painting language and direction is addressed as a major topic.  Discussions and critiques are held on a regular basis."
Art,Graphic Design II,ART 306,4 hours,,ART or THE 206,"Through a combination of digital and analog media, students will create applied design projects integrating multimedia tools to convey ideas and to generate original content.  The course emphasizes image-based concept development, interactive design, planning for print and digital media, and the development of art direction skills."
Art,3D Modeling and Animation II,ART 307,4 hours,,ART 207,"This course expands on computer based 3-D animation with emphasis on asset creation for specific platforms such as animation, game development, or 3D design.  Students will be expected to design fully realized and useable assets for their chosen platform.  Offered alternative years."
Art,2D Studio II,ART 309,4 hours,,"ART 200, 206, 208, 209, 216 or 218","This studio course advances aesthetic development of 2-D work through presentation and discussion of formal analysis related to issues and interdisciplinary concerns of image-based art.  Intersections between painting, drawing, printmaking, collage, and photographic processes will be explored as well as the installation of media in space."
Art,Ceramics II,ART 310,4 hours,Human Expression,ART 110 or ART 210,"This course expands the vocabulary of ceramic materials and techniques.  Processes and techniques will be directed in individual and group projects questioning design, function and the expanding potential of sculptural outcomes.  Greater emphasis will be placed on developing individual ideas by directing the ceramic process to address concepts in contemporary art and ceramics.  This course will also delve deeper into topics of ceramic history and contemporary ceramic practices questioning the role of ceramic objects and our relationships with and to them."
Art,Installation,ART 311,4 hours,,ART 111 and any 200-level Studio Art Course,"This course is designed to encourage interdisciplinary practices in the creation of art installation through individual and collaborative investigations.  Projects, readings and discussions will center around how materials, objects, and space inform and direct an installation experience."
Art,Printmaking II,ART 316,4 hours,,ART 216,"This course focuses on expanding and enriching practices related to the creation of original prints, including the exploration of alternative printmaking processes and the development of multi-colored images."
Art,Photography II,ART 318,4 hours,,ART 218,"This studio course will be a further exploration of photography.  Assignments will become more self-directed.  Exploration of new techniques and materials, such as film based work or alternative printing methods, will be stressed in the course.  Connections to photographers of note, both current and historically relevant, will be made through the work created by the students."
Art,Critical Theory,ART 320,4 hours,,,"An investigation of ideas that have informed and shaped the practice and understanding of art from the late 19th century to the present day.  Students will engage in critical discourse, encounter texts that have changed our concepts of art, and hone their writing skills through the development of personal statements and written analysis of selected readings."
Art,4D Art Lab II,ART 331,4 hours,,ART 231,"This course focuses on the artifact of time in 4D works.  This studio art course moves students beyond the use of video and time-based media as art-making tools and asks them to consider the ways film, digital video, performance art, installation, and other time-based media impact our understanding of art and experience."
Art,Studio Projects,ART 384,4 hours,,ART 216,
