Match ID,Event ID,Demo ID
2301202,2162,19844
2312398,2720,30492
2218116,1041,
2298083,1934,18868
2215496,1033,14360
2294826,1705,
2305578,2492,23752
2316028,3255,33325
2300988,2145,19677
2294387,1662,17867
2299186,2010,
2295912,1742,19388
2313493,3086,31151
2300129,2094,
2298666,1979,
2316317,3049,
2297633,1904,
2239307,1099,15071
2185980,1007,
2303813,2359,22227
2314381,2867,32919
2295124,1667,
2292397,1451,
2317411,3368,34760
2303700,2330,22128
2290836,1317,16478
2299207,1934,
2307551,2656,25460
2317103,3312,34441
2310403,2819,28155
2297128,1808,18503
2307137,2618,25151
2294534,1685,
2307317,2642,25301
2310244,2713,28113
2313359,3043,31009
2315765,3059,33794
2274547,1218,15902
2204407,1038,
2315603,3134,33072
2309190,2672,26992
2308334,2672,
2295178,1702,18049
2304327,2393,22626
2276324,1249,15971
2274344,1239,
2303541,2301,22038
2315430,3189,32692
2293486,1543,
2296913,1789,
2305816,2466,
2296682,1733,
2198232,1013,
2311638,2880,29336
2309846,2766,27672
2307449,2543,25332
2253622,1156,
2308872,2733,26683
2313261,3004,30916
2303906,2360,22302
2293075,1469,17405
2296248,1671,
2315247,3194,32454
2304717,2420,23055
2311527,2897,29346
2301284,2145,20123
2270934,1200,15755
2297011,1616,18480
2295191,1712,
2297383,1885,18600
2306096,2306,24319
2291438,1362,
2303458,2292,21946
2292999,1497,
2316078,3060,33577
2300765,1958,19285
2314635,3077,31920
2293499,1544,
2290456,1319,
2307722,2655,25653
2307316,2642,25290
2304241,2356,22573
2315592,3048,32810
2313383,3066,31017
2237659,1096,14899
2317047,3346,34536
2313780,3052,31368
2316986,3049,34328
2301595,2191,20411
2310630,2842,28405
2311472,2872,29197
2314714,3014,32471
2316672,3060,34451
2297776,1914,18689
2289343,1308,
2314882,3185,32093
2295899,1772,
2294652,1681,
2317505,3322,34982
2294073,1624,
2305099,2467,
2297421,1880,
2299320,1968,
2295713,1746,
2248765,1142,15235
2298747,1982,
2201677,1029,
2300816,2124,19561
2303592,2310,22031
2307259,2629,25268
2296253,1733,
2298594,1890,
2308046,2690,
2309493,2639,27353
2298151,1693,18822
2295113,1662,18033
2291241,1349,16730
2292336,1444,17029
2290659,1328,
2315744,3049,33044
2295235,1662,18244
2302033,2208,21337
2312511,2896,
2243807,1101,
2307626,2667,25580
2298183,1939,
2307817,2672,25740
2311584,2916,29500
2310868,2821,28620
2249580,1130,15279
2317407,3354,34750
2313814,3093,31528
2293013,1505,
2316850,3322,34170
2301259,2164,19884
2307805,2659,25734
2294396,1577,
2300435,2077,19317
2314349,3080,31643
2306869,2494,24855
2298881,1976,
2270211,1192,15717
2309905,2766,27728
2289801,1313,16320
2311685,2763,29590
2312500,2846,30108
2295157,1702,18044
2316284,3133,33712
2302176,2208,21371
2293778,1590,17694
2226683,1060,
2293660,1572,
2303582,2319,22026
2314346,3104,31634
2291450,1357,16812
2186792,982,
2301039,2152,
2314935,3020,32334
2313027,2836,30662
2298446,1881,
2312433,2979,31191
2310984,2792,28748
2299196,1934,
2298902,1934,
2294234,1660,
2299660,2048,
2308303,2693,26134
2311219,2557,29005
2292412,1453,
2302005,2208,21356
2312973,3002,30623
2306504,2423,24811
2311556,2723,29343
2298235,1939,
2308876,2160,26653
2295664,1735,
2297318,1738,
2296268,1789,
2307898,2689,
2309704,2675,27533
2305422,2476,
2226345,1060,
2306725,2581,24756
2226333,1060,
2232578,1068,14687
2292748,1428,17237
2291579,1385,
2300683,2033,19249
2291946,1420,
2245215,1120,
2293298,1521,17506
2246199,1123,
2301547,2176,
2315289,3049,32482
2295925,1765,
2317917,3385,
2202390,1034,
2175573,986,
2305257,2345,23518
2312009,2879,30004
2303081,2254,21644
2294558,1680,17931
2254097,1156,
2317668,3072,35217
2302363,2227,20973
2304787,2436,23073
2307598,2658,25676
2303940,2372,22309
2309570,2675,27461
2302553,2245,21170
2296239,1742,19454
2300994,2042,19721
2317433,3367,34785
2315855,3048,33222
2317728,3228,35050
2315942,3256,33259
2294436,1678,
2276302,1249,15954
2315425,3225,32758
2298706,1981,
2301459,2168,
2301878,2027,20662
2217542,1047,
2315079,3134,
2315295,3122,32572
2314530,3061,31791
2316016,3257,33315
2312465,2955,30084
2293744,1568,
2292803,1479,
2314036,2866,34256
2308883,2726,26890
2300598,2102,19194
2291636,1392,
2300332,2108,
2313544,3094,31166
2308732,2719,26522
2314111,3017,31515
2308254,2674,26219
2301936,2202,20729
2292506,1452,
2317827,3356,35166
2313137,2932,30851
2295463,1720,
2303799,2360,22196
2228279,1067,14574
2270294,1192,15724
2310175,2818,27983
2315645,3122,32884
2315816,3253,33097
2313865,2867,32553
2294398,1663,
2306302,2533,24383
2302405,2124,21021
2314173,3098,31558
2269644,1188,15738
2303424,2291,21926
2298109,1763,18796
2299771,2047,
2312881,2897,30525
2313599,3051,31207
2316111,3048,33808
2293261,1523,
2312283,2978,30042
2291978,1424,
2295964,1761,
2298367,1934,18999
2193131,1021,14189
2298486,1890,
2246282,1123,
2311912,2944,29626
2306079,2306,24257
2314779,2867,34221
2313484,2879,31092
2217980,1037,14378
2305212,2409,23509
2307445,2644,25451
2311939,2945,29638
2316550,3310,33950
2308117,2639,26040
2291014,1324,
2316530,3228,33916
2313941,2866,32500
2315703,3266,32969
2302076,2099,20783
2306240,2306,24376
2298189,1939,
2294307,1577,
2313427,3090,31056
2309680,2675,27528
2290592,1325,
2297982,1938,
2317151,3321,
2188655,1011,
2315794,3049,
2305712,2505,23875
2293862,1627,
2306632,2575,24666
2304470,2399,22774
2264386,1174,15555
2310229,2794,28047
2302080,2099,20792
2291433,1365,16805
2298285,1937,18915
2295333,1726,18253
2221513,1049,14424
2302807,2254,21398
2291888,1419,
2316821,3201,34088
2297359,1871,
2294306,1664,
2292596,1420,
2306952,2588,24934
2303070,2135,21645
2297220,1849,
2309430,2683,27287
2308757,2160,26627
2316670,3060,34374
2300344,1978,19139
2294039,1601,17782
2196335,1025,14254
2295711,1742,19354
2291001,1317,16567
2317656,3072,35225
2315134,3135,32373
2296774,1830,
2305695,2499,23845
2303168,2262,21721
2239122,1087,14842
2315468,3150,32752
2291787,1409,
2309801,2663,27637
2315651,3212,32921
2301946,2202,20759
2313713,3107,31262
2294562,1689,
2291729,1405,
2311542,2841,29276
2229905,1075,14617
2312679,2928,30285
2309901,2779,27748
2309571,2675,27459
2307715,2655,25643
2246081,1123,
2293562,1554,
2293900,1577,
2309564,2728,27671
2299475,2030,20090
2295267,1720,
2300006,2086,19935
2273818,1235,
2292792,1469,17273
2302573,2247,21188
2305462,2482,
2296112,1742,19436
2295959,1746,
2315768,3270,33055
2301472,2180,
2300646,2133,
2290983,1317,16558
2290935,1324,
2307813,2672,25739
2317079,3047,34429
2293023,1497,
2316266,3302,33622
2315539,3195,32851
2302474,2234,21094
2314693,3169,31939
2297846,1764,18730
2293797,1590,17699
2317273,2956,34657
2268353,1189,15616
2310849,2821,28603
2309200,2760,27064
2228277,1067,14575
2248339,1139,
2306704,2578,24731
2290453,1319,
2197271,1029,
2307583,2666,25523
2298533,1694,19044
2185976,1007,
2310564,2729,28342
2309049,2747,26936
2315523,3048,32757
2317723,3275,35089
2305644,2368,
2299990,2082,
2296081,1781,
2301147,2036,19806
2201057,1033,14273
2164596,973,
2316621,3048,34379
2269126,1175,15652
2307443,2643,25453
2317488,3114,34914
2309503,2766,27329
2310954,2843,28846
2294361,1624,
2307478,2652,
2308228,2660,26089
2307991,2673,25896
2306818,2595,24798
2300634,2013,19189
2292760,1428,17241
2297937,1915,18984
2300955,2156,
2311516,2910,29262
2317681,3388,34998
2297109,1848,
2314063,3078,31435
2299683,1973,20210
2301418,2158,20327
2296380,1742,19478
2294457,1623,
2299792,2061,
2226338,1060,
2296807,1830,
2265514,1040,
2298651,1961,
2307600,2658,25697
2296106,1742,19430
2305682,2495,23999
2314014,2866,33406
2310561,2729,28338
2316468,3048,34046
2235585,1083,14782
2301270,2152,
2313979,2866,
2301255,2159,
2238092,1094,15031
2296473,1767,
2291699,1401,16889
2312672,2880,30281
2312997,2836,30645
2298607,1934,
2311213,2557,28996
2317647,3072,35199
2306413,2550,24444
2293192,1519,
2269404,1195,15661
2237654,1096,14894
2314536,3061,31899
2291533,1376,16827
2315505,3212,32764
2298361,1871,
2304026,2366,22382
2314780,2867,34222
2316735,3232,34016
2295271,1637,
2307376,2564,25367
2301917,2179,20715
2295073,1610,18213
2304757,2419,23136
2294585,1689,
2302459,2165,
2297501,1666,18623
2304369,2398,
2307558,2656,
2301278,2137,19957
2292504,1453,
2308441,2702,26280
2317919,3407,35241
2308546,2553,26687
2309368,2771,27197
2295301,1651,
2311209,2877,28968
2295378,1671,
2305928,2388,24084
2313380,3087,
2295276,1651,
2305536,2482,23707
2307661,2649,25634
2306316,2546,24406
2315922,3212,
2270879,1200,15744
2301540,2124,20366
2309731,2663,27579
2311885,2721,29820
2298608,1934,
2302357,2225,
2316469,3048,34049
2303506,2254,21966
2305639,2368,23811
2310886,2849,28644
2312138,2928,29779
2303170,2262,21724
2309567,2675,27456
2293438,1535,
2295286,1722,
2304954,2435,23279
2313809,3093,31475
2279821,1266,
2294336,1629,17885
2305105,2468,23438
2312586,2902,30208
2292508,1463,
2244513,1108,
2312148,2846,29821
2278660,1269,
2291028,1342,
2296209,1762,
2297268,1874,
2290172,1316,
2280520,1257,16256
2308353,2703,26244
2312791,2879,30440
2215669,1033,
2312747,2928,30437
2301813,2197,20590
2310844,2821,28586
2301616,2191,20455
2189386,1012,
2308479,2672,26328
2304977,2449,23260
2304835,2443,23121
2291381,1346,
2295638,1729,
2309906,2766,27729
2307438,2566,25575
2315253,3150,32538
2298224,1693,18826
2280891,1271,16294
2303394,2301,22063
2303838,2362,22258
2306518,2423,24824
2276764,1242,16020
2303791,2337,22198
2194976,1013,14226
2295557,1733,
2292160,1438,
2309301,2762,27127
2310560,2639,
2312295,2977,29937
2278979,1271,16147
2316575,3190,34015
2307428,2566,25564
2310069,2729,27898
2198226,1013,
2226737,1056,14607
2305448,2482,23654
2237604,1096,14876
2275889,1245,15949
2299952,2083,
2314134,3018,31485
2297893,1837,18772
2303243,2296,21774
2297573,1904,
2314137,3125,31563
2300852,2042,19695
2303408,1690,21911
2315344,3226,32638
2279569,1257,16189
2310961,2802,28779
2315705,3150,33003
2301304,2175,19972
2304234,2356,22564
2299322,2019,20097
2297397,1837,
2292511,1428,17096
2288716,1304,
2311471,2872,29192
2317480,3114,34903
2311890,2721,29831
2195864,1025,14246
2272563,1212,
2298306,1952,
2296308,1744,
2294256,1655,
2298602,1928,
2294591,1681,
2233476,1056,14728
2317147,3328,34450
2298723,1934,
2311937,2945,29637
2317443,3292,34779
2313360,3073,30976
2301551,2185,20351
2311952,2879,29754
2306073,2532,24235
2297202,1862,
2301193,2124,19899
2297437,1666,18611
2253625,1156,
2226392,1060,
2295583,1742,18304
2309339,2768,27229
2293517,1544,
2315205,3216,32384
2308382,2637,26204
2301721,2059,20538
2290072,1315,
2313423,3000,31171
2304961,2450,23211
2305699,2509,23823
2292988,1503,
2310156,2686,27993
2310839,2821,28581
2292856,1489,
2306408,2431,24473
2317683,3387,35004
2302326,2228,20922
2316230,3301,33536
2308609,2718,26480
2294660,1688,
2307989,2672,25880
2309886,2810,27709
2308317,2701,
2313455,2967,31037
2299595,1970,
2298304,1890,
2295524,1746,
2304962,2450,23202
2269122,1175,15648
2301162,2036,19823
2300023,2060,
2310132,2815,28003
2292636,1479,
2293445,1539,17614
2248913,1125,15249
2312709,2986,30340
2298596,1937,19087
2305522,2311,23718
2295375,1662,18318
2299823,2032,
2303334,2303,22698
2291464,1367,
2294029,1602,
2291436,1362,
2304093,2383,22454
2290171,1316,
2310682,2850,28481
2297355,1878,
2262490,1172,15533
2296821,1830,
2236609,1093,
2298836,1934,
2309545,2752,27396
2301638,2191,20443
2305211,2409,23503
2297115,1850,
2309221,2711,27024
2317659,3072,35226
2301493,2174,20264
2298628,1937,
2195865,1025,14247
2312503,2846,30110
2312924,2879,30573
2290628,1328,
2292059,1404,
2309246,2755,27072
2297450,1892,
2186352,1003,14141
2310864,2729,28714
2237608,1096,14870
2197272,1029,
2300977,2157,19675
2314107,3097,31511
2297825,1764,18729
2281671,1279,16300
2303456,2135,21941
2294502,1623,
2306753,2576,24788
2287425,1290,
2292751,1389,
2311148,2871,28873
2226218,1060,
2311820,2897,29551
2316731,3320,34069
2300881,2100,19593
2313603,3051,31234
2314680,3149,31914
2189384,1012,
2298592,1934,19077
2292703,1404,
2292653,1481,17158
2146364,958,
2314309,3129,33270
2314393,2867,32995
2315078,3211,32260
2306963,2511,24972
2299979,2024,
2291030,1342,
2295951,1674,
2311550,2879,29523
2306670,2261,24701
2309773,2663,27628
2314343,3055,32209
2297454,1893,
2303302,2062,21856
2296476,1762,
2309032,2747,26844
2303321,2299,21834
2305620,2386,23818
2301006,2124,19738
2302366,2229,20960
2305265,2485,23496
2252226,1156,
2312483,2955,30106
2300407,2122,
2314664,3163,31940
2311671,2924,29444
2301529,2124,20336
2302311,2225,
2313876,2867,32610
2304858,2444,23142
2303596,2303,22709
2246254,1123,
2315386,3231,32668
2293636,1553,17656
2315789,3253,33081
2290849,1327,
2309037,2747,26879
2311276,2886,29101
2305060,2368,23413
2302520,1954,21176
2314647,3145,31881
2238057,1095,14957
2305984,2452,24160
2306716,2261,24838
2279705,1257,16199
2311575,2916,29440
2293853,1628,17706
2304681,2403,
2315270,3220,32545
2316529,3228,33881
2305944,2508,24118
2174640,986,
2315121,3211,32299
2295274,1651,
2238058,1095,14954
2291364,1360,
2287785,1301,
2290950,1339,
2307494,2653,25429
2302502,2232,
2311433,2722,29208
2313570,2969,31257
2312173,2954,
2317561,3378,34933
2153004,943,
2298806,1937,
2314861,3185,32068
2202269,1034,
2300298,2106,
2228266,1067,14564
2304359,2296,22746
2299271,1960,
2305900,2525,24031
2305516,2494,
2306434,2431,24481
2301558,2189,20370
2293825,1592,
2316811,3048,34054
2312645,2879,
2297273,1869,
2276172,1248,
2310093,2639,27933
2248956,1125,15257
2309351,2746,27154
2292365,1444,17047
2313323,3031,31019
2300868,2147,19584
2305472,2493,23626
2312659,2977,30301
2308073,2672,26386
2308549,2553,26692
2307584,2666,25526
2311762,2928,29490
2301630,2191,20439
2296976,1843,18471
2307632,2670,25589
2305193,2239,23468
2307934,2541,25944
2276431,1252,
2308654,2553,27699
2315332,3047,32744
2291349,1358,16775
2315175,3202,32404
2296652,1789,
2316193,3047,33558
2297855,1837,22755
2310296,2568,28271
2300724,1958,19237
2306181,2497,24294
2315610,3059,32927
2308180,2698,26025
2237966,1095,14945
2305137,2239,23465
2238077,1095,
2301349,2152,
2295621,1733,
2313586,3080,31631
2313098,3029,30804
2291056,1317,16588
2297458,1894,
2313797,2972,31857
2295645,1742,19332
2293348,1526,17572
2317692,3320,35038
2313929,2866,31785
2303974,2375,22351
2299691,2032,
2305416,2390,23693
2299059,1970,
2296740,1825,
2306477,2546,24519
2236280,1090,
2291957,1424,
2317893,3315,35246
2290901,1338,
2317800,3381,35125
2278385,1267,
2313613,3053,31214
2304233,2368,22732
2301926,2188,20676
2306313,2430,
2300594,2013,19185
2298741,1934,
2310412,2819,28210
2294293,1624,
2292802,1479,
2317687,3385,35003
2310368,2705,28201
2270875,1200,15745
2308647,2553,27331
2226344,1060,
2313990,2866,
2292590,1428,17129
2310967,2849,28729
2295536,1742,18288
2300269,2108,
2294360,1672,
2244945,1118,
2317476,3114,34899
2310739,2856,29662
2291304,1356,
2316340,3048,33663
2301843,2188,
2310040,2638,27962
2306254,2340,
2305357,2311,23684
2292208,1438,
2305310,2369,23580
2291115,1345,
2316607,3048,33964
2310390,2815,28196
2313676,2866,31317
2316163,2921,33487
2308842,2672,26592
2317207,3059,34814
2304505,2400,22802
2301194,2124,19900
2290916,1327,
2314558,2572,31952
2246051,1124,
2302820,2135,21431
2293344,1526,17563
2297457,1894,
2312773,2571,30494
2299245,1937,
2293912,1634,
2295631,1742,19327
2301986,2204,20746
2310584,2843,28470
2305870,2520,24076
2312639,2981,30251
2293241,1488,
2297603,1871,
2295461,1733,
2248226,1125,15210
2290752,1333,16439
2296510,1767,
2314155,3097,31514
2305069,2388,
2292370,1444,17049
2314457,3148,31669
2297916,1915,18968
2304608,2419,22973
2297272,1869,
2311364,2846,29084
2312553,2928,30165
2293662,1572,
2225748,1058,14466
2202009,1034,
2316525,3294,33919
2293285,1521,17500
2296487,1768,
2316142,3047,33428
2248496,1125,15215
2316660,3060,34203
2188376,1009,14168
2299258,1960,
2304825,2432,23418
2292537,1420,
2287219,1296,
2285433,1286,
2317527,3224,34932
2308351,2703,26211
2317520,3049,34831
2295944,1777,18359
2315159,3121,32422
2317037,3069,34320
2311953,2961,29678
2312207,2949,29872
2312201,2949,29867
2308240,2686,26103
2313321,3031,30963
2148432,958,
2295618,1613,18316
2310479,2780,28308
2302215,2152,
2299246,1937,
2303818,1690,22239
2310580,2843,28810
2296116,1787,
2290217,1310,16318
2317496,3367,34823
2314716,3014,32605
2300402,2121,20053
2304142,2369,22546
2299799,1986,19250
2305080,2411,23361
2174747,982,
2306733,2585,24790
2251718,1151,15390
2299791,2024,
2299190,1959,
2291114,1345,16643
2276432,1252,
2300642,2139,
2303276,2254,21792
2311781,2897,29486
2298242,1871,
2310481,2830,28300
2278655,1269,
2225724,1058,
2244515,1108,
2310014,2816,27865
2296638,1742,19543
2294832,1706,
2305207,2409,23500
2295062,1710,18144
2312346,2570,30256
2296643,1744,
2315299,3219,32547
2317114,3165,34510
2301035,2158,19732
2171954,982,
2304769,2419,23337
2233705,1082,14714
2292521,1420,
2317403,3322,34805
2289923,1314,
2291667,1399,
2278038,1265,16095
2303216,2248,21756
2291613,1373,16848
2313366,3044,31082
2293976,1600,17755
2248450,1139,
2313803,3093,31426
2314965,3157,32213
2220713,1041,
2295382,1714,
2314439,3155,31667
2291508,1369,
2309701,2675,27549
2311737,2897,29485
2305062,2368,23403
2314001,2866,33013
2310008,2780,27982
2293319,1526,17515
2314614,2973,31833
2302180,2208,21139
2213755,1037,14341
2315036,3046,32366
2303244,1690,21767
2307403,2609,25308
2309734,2663,27589
2301826,2027,20623
2309844,2639,27759
2309638,2675,27491
2253657,1158,
2306683,2261,24744
2307704,2654,25604
2303230,2293,21777
2292984,1503,
2292862,1489,
2308870,2708,26671
2314282,3129,33374
2296672,1767,
2301084,2153,19793
2237548,1096,14856
2300692,2133,
2301943,2202,20736
2300198,1973,20217
2186351,1003,14142
2312424,2979,30881
2291201,1324,
2226271,1060,
2309375,2771,27226
2268328,1189,15614
2317725,3383,35049
2290589,1325,
2310973,2795,28764
2275017,1238,15919
2302545,2243,
2302172,2208,21121
2294706,1618,17976
2228139,1037,
2312998,2836,30651
2313554,3026,31158
2314833,3134,
2292958,1488,17380
2290561,1323,
2315824,3157,33144
2302872,2252,21461
2296943,1707,18449
2291105,1345,16639
2306493,2556,24528
2303513,2318,21969
2253104,1155,15435
2305418,2390,23697
2307748,2638,25744
2298423,1890,
2316664,3060,34291
2312119,2880,29799
2306899,2110,24913
2300644,2139,
2311971,2947,29667
2294858,1668,
2305395,2390,23629
2310402,2819,28156
2299885,1959,20141
2307083,2599,25159
2297836,1911,18733
2305915,2476,24141
2291400,1362,
2290601,1327,
2305000,2161,23309
2302729,2223,21340
2317267,2956,34649
2276530,1252,
2317409,3354,34752
2306881,2495,24961
2179320,982,
2313563,3000,31199
2198235,1013,
2314515,3157,31715
2300230,2104,
2292628,1479,
2315981,3122,33353
2271707,1175,15774
2198657,1031,
2314322,3002,31693
2314449,3144,31656
2269541,1197,15669
2308804,2699,27082
2300067,2033,
2314842,3134,32924
2311655,2880,29365
2298851,1898,
2300177,2096,
2309993,2790,27834
2296820,1822,
2309163,2638,27028
2315194,3200,
2291247,1351,16759
2314762,2636,32087
2296842,1830,
2253769,1162,
2310320,2831,28098
2302581,2188,
2301087,2071,19800
2278448,1267,
2200934,1029,
2273210,1224,
2233160,1056,14698
2309002,2733,26770
2317375,3355,
2296868,1768,
2314223,3111,31623
2303630,2333,22060
2253071,1156,
2311991,2912,29693
2295981,1745,
2317156,3271,34499
2311526,2897,29347
2314893,3192,32106
2314419,2867,33531
2316827,3228,34180
2303519,2296,21977
2310375,2679,28284
2305188,2478,
2307976,2687,26031
2317582,3323,35041
2302200,2117,20847
2285217,1158,
2296012,1674,
2307994,2673,25901
2295166,1671,
2311862,2960,29592
2295729,1738,
2298849,1984,
2307466,2648,25409
2305681,2495,23925
2299227,1973,20203
2305508,2494,
2313872,2867,32560
2311497,2898,29219
2304041,2368,22479
2305849,2521,23984
2270017,1192,15713
2273094,1221,15855
2298621,1934,
2312052,2965,29729
2314717,3134,31979
2309829,2638,27716
2294694,1618,17971
2298192,1881,
2290494,1320,
2317493,3114,34917
2299298,1968,
2292899,1480,17342
2297298,1861,18582
2312902,2932,30686
2302049,2208,20803
2247650,1135,15195
2294767,1699,
2308841,2719,26644
2295211,1696,
2313076,2836,30720
2293358,1526,17578
2311488,2880,29337
2315752,3059,33625
2313338,2880,31104
2309885,2810,27707
2304022,2349,22423
2294602,1611,17937
2308544,2553,26534
2312736,3005,30392
2310808,2728,28676
2295066,1610,18220
2278351,1266,
2308406,2673,26249
2315241,3194,32450
2310432,2813,28225
2288908,1306,
2299473,2023,
2314463,3080,31677
2296009,1766,
2307087,2599,25101
2307116,2612,25109
2296840,1832,
2297073,1849,
2296138,1765,
2295360,1727,
2313816,3109,31376
2306334,2494,24423
2299989,2082,
2312291,2879,29945
2299470,1865,19243
2298177,1890,
2306004,2527,24152
2304132,2369,22507
2298835,1937,
2293250,1522,
2309460,2767,27298
2253068,1156,
2226483,1060,
2313037,2836,30677
2251642,1151,15383
2293771,1589,
2313361,3042,31038
2312549,2901,30145
2228276,1067,14582
2303477,2315,
2316175,2921,33545
2306633,2575,
2291084,1345,16609
2300054,2089,
2300538,2063,19176
2298286,1898,
2290460,1319,
2304673,2428,22946
2304004,2369,22387
2314959,3157,32413
2308284,2674,27239
2306835,2380,24809
2305163,2479,23441
2297393,1871,
2298780,1959,
2301134,2124,19984
2236315,1090,
2292949,1470,17367
2302380,2230,
2309088,2738,26895
2304475,2408,22786
2280521,1257,16255
2313409,3000,31121
2301471,2183,20250
2305960,2526,24139
2302013,2208,21048
2294176,1643,
2314456,3144,31682
2219077,1049,14400
2302440,2224,21056
2294722,1686,17978
2303869,2366,22275
2298577,1943,
2292433,1457,
2293415,1500,17598
2316301,3047,33652
2299135,2007,20103
2291553,1379,
2312064,2635,29952
2308539,2553,26520
2255156,1164,15505
2277176,1242,16026
2296715,1824,
2311999,2879,29722
2293009,1497,
2308590,2673,26397
2297489,1890,
2308482,2672,26987
2302533,2241,21154
2311463,2569,29437
2317331,3354,34630
2297952,1895,
2274391,1240,
2311892,2721,29846
2305385,2390,23603
2294142,1622,17799
2305759,2513,23950
2298503,1959,
2312533,2899,30134
2310153,2779,27960
2308917,2638,26797
2302236,2152,
2300521,2064,19169
2291015,1324,
2291732,1405,
2297174,1855,
2316493,3060,33886
2313656,2867,31415
2313155,3004,30803
2235418,1068,14785
2298792,1942,20315
2311195,2854,29121
2314040,2866,34353
2194479,1013,
2309695,2675,27553
2292625,1478,
2311807,2941,29618
2312292,2962,29940
2310345,2815,28145
2293439,1536,17603
2310269,2728,28090
2309618,2663,27580
2294102,1575,
2317377,3358,34721
2304136,2369,22522
2317032,3048,34311
2297628,1895,
2302551,2241,21156
2300045,2060,
2313648,2867,31387
2301285,2164,19954
2310038,2638,27956
2306833,2576,24802
2296752,1767,
2307519,2471,25480
2314797,2867,34517
2315963,3282,33273
2304597,2368,23085
2313833,2867,31777
2315044,3206,32232
2303600,2326,
2246661,1128,15146
2312198,2950,29902
2316796,3059,34198
2305980,2452,24157
2316667,3060,34294
2312625,2902,30214
2250173,1141,15316
2310526,2638,28424
2297877,1882,18755
2228997,1067,14597
2300355,2117,
2244528,1108,
2309873,2711,27695
2306486,2554,24530
2292713,1482,17209
2276997,1242,16021
2304880,2386,23166
2316202,3261,33454
2297106,1849,
2311958,2928,29670
2238054,1095,14956
2312062,2957,29758
2311115,2830,28844
2295080,1610,18225
2298874,1934,
2310880,2843,28694
2309716,2663,27588
2306076,2306,24254
2316275,3305,33650
2294614,1689,
2304429,2285,
2302757,2252,21365
2316368,3047,33721
2296907,1822,
2292854,1489,
2304347,2315,
2295030,1710,18138
2302027,2208,21274
2305136,2239,23464
2305205,2409,23498
2306037,2528,24199
2220514,1037,14401
