Location,Name,Date,ID,Prize
Europe (Online),UCC Cup #1 by RESF,2017-11-28,3387,"$2,000"
Online (Europe),Europe Minor Closed Qualifier - ELEAGUE Major 2018,2017-10-15,3255,
,Copenhagen Games 2013 female,2013-03-29,1095,
,ESL South East Europe Championship Season 1 Finals,2015-05-08,1749,
Online (Japan),ROG MASTERS 2017 Japan Open Qualifier,2017-08-19,3079,
,ESEA Invite Season 17 All-Star,2014-12-06,1569,
,99Damage Arena #17,2015-12-07,2058,
Online,CyberPowerPC Summer 2016 Pro Series,2016-08-27,2357,"$15,000"
,ESEA Invite Season 14 Europe,2013-05-27,1141,
Madrid,LVP Season 11 Division de Honor Finals,2016-12-18,2611,"$8,590"
,ESL One Katowice 2015 Last Chance Qualifier,2015-02-08,1652,
,RaidCall EMS One Summer 2013 Cup #3,2013-05-28,1142,
,SLTV StarSeries IX Finals,2014-05-02,1358,
Online,Balkan Challenge #1,2016-02-22,2157,$200
,CS Select #27,2015-08-29,1906,
Online,SP Gaming Tournament #4,2017-11-06,3335,$850
Middle East,Asia Minor Middle East Qualifier - PGL Major Krakow 2017,2017-04-22,2785,
,EMS One Katowice German Qualifier Cup #2,2014-02-01,1301,
,ESEA Open Season 22 Brazil,2016-08-08,2361,$1750
Online,StarLadder Regional Minor Championship CIS - ELEAGUE Major 2017 - Open Qualifier,2016-10-28,2542,
,ESL Pro League Season 4 North America Relegation,2017-01-17,2644,
,World Championships 2016 Oceanic Qualifier,2016-06-30,2297,$0
,ESL UK Premiership Season 2 Finals,2015-10-24,1988,
,ESWC 2014 France,2014-10-29,1527,
,99Damage League Season 3,2016-08-06,2346,"$11,218"
"Burbank, California, United States",ESL One Cologne 2015 NA Qualifier,2015-08-01,1809,
,ROG MASTERS 2017 France Qualifier,2017-07-17,2999,
,CyberGamer Showmatch,2012-10-02,983,
Online (NA),ECS Season 4 NA Development League,2017-08-29,3056,
"Lillestrøm, Norway",Telenor League Fall 2017,2017-11-10,3347,"$16,980"
Online (SEE),WESG 2017 South-East Europe,2017-09-30,3222,
"Copenhagen, Denmark",Copenhagen Games 2015,2015-04-02,1610,"$29,300"
,TECHLABS Cup Minsk 2013 EU Qualifier,2013-09-20,1201,
,Go4CS:GO Cup #58,2013-08-25,1182,
,ESL Pro League Season 4 - North America Wild Card,2016-08-17,2371,
"Marina Bay, Singapore",ROG MASTERS 2017 Singapore Finals,2017-09-09,3132,
Sønderborg,Cross Border Esport 2017 Female Finals,2017-09-08,3167,"$4,050"
Online (UK),UK Masters Summer 2017,2017-08-15,3091,"$3,244"
,Hitbox Arena Showdown Invitational #3,2015-09-14,1938,
,CS:GO AOC UK Challenge Winter Finals 2014/15,2015-01-27,1641,
,ESL One Katowice 2015 European Qualifier #2,2015-02-03,1647,
Online,DreamHack Masters Malmö 2016 Europe Closed Qualifier #2,2016-03-20,2174,
,EMS One Katowice German Qualifier Cup #1,2014-01-18,1288,
Online,99Damage League Season 5,2017-05-11,2852,"$10,930"
,CS Select #18,2015-07-04,1832,
,ESL Major League Summer 2015,2015-08-05,1875,
,StarPrime CyborWars 2016,0,2332,
,Insomnia 52,2014-08-24,1458,
,Go4CS:GO Cup #66,2013-10-20,1244,
,ESL Pro Series Germany Summer 2014 Cup #4,2014-07-07,1413,
,ESL Pro Series Germany Summer 2014 Cup #2,2014-06-23,1394,
,AlienTech CS:GO Invitational II,0,2268,
"Prague, Czech Republic",Predator League 1 Finals,2017-06-17,2919,"$1,070"
,D!ngIT $2000 Weekly Cup #34,2016-01-19,2121,
Online,Liga PRO GamersClub - OCT/16,2016-11-06,2554,$773
,Svecup Norrköping Qualifier #2,2013-03-24,1093,
Online,Liga PRO Alienware GamersClub MAR/17,2017-03-28,2760,"$1,600"
,DreamHack Summer 2013 Finnish Qual.,2013-05-20,1134,
Online,Kinguin for Charity with PayPal,2016-09-27,2467,"$5,000"
,RGN Intercontinental Open: Europe,2015-02-09,1655,
"Jakarta, Indonesia",IeSF World Championship 2016,2016-10-06,2482,"$20,000"
"Adelaide, Australia",Australian Esports Masters Season 2 Finals,2017-09-23,2942,"$6,820"
,WESG 2016 Australia,2016-10-14,2466,
,DreamHack Valencia 2012,2012-09-21,973,
,ROG MASTERS 2016 China Qualifier,2016-10-14,2516,
,D!ngIT $2000 Weekly Cup #7,2015-07-06,1836,
Online (EU),EPICENTER 2017 Europe Closed Qualifier,2017-09-17,3150,
Online,World Championships 2016 European Qualifier,2016-08-08,2349,
"Sønderborg, Denmark",Cross Border Esport 2017,2017-09-08,2973,"$15,300"
,D!ngIT $2000 Weekly Cup #12,2015-08-10,1870,
"Sydney, Australia",ESL Australia &amp; NZ Championship Season 1 Finals,2016-07-23,2310,
,World Championships 2016 African Qualifier,2016-08-03,2341,
Online (EU &amp; CIS),Headshot Cup #4,2017-08-02,3037,"$3,000"
Online,eSportsArcadeTV Cup #2,2017-03-09,2717,
Online,Nordic Championship Season 1 Sweden Qualifier,2017-06-11,2913,
,ESWC 2013 Germany,2013-09-28,1212,
São Paulo,r1seCup ,2015-04-18,1724,$400
,The Logitech Invitational,2014-12-13,1580,
,DreamHack Summer 2013 Danish Qual.,2013-05-26,1139,
,DreamHack Open Summer 2017 North America Open Qualifier,2017-05-20,2864,
,CEVO Main Season 11 North America,2017-01-25,2665,"$10,000"
,Uprise Champions Cup: Europe CIS Qualifier,2015-10-24,1990,
,BenQ All-Star Showmatch #5,2015-06-29,1829,
,ESL Australia  &amp; NZ Championship Season 2 Open Qualifier,0,2372,
,CEVO Professional Season 8 Placement EU,2015-08-10,1848,
,IEM Poland International Qualifier,2012-12-19,1038,
,MFJV Online Series #2,2013-05-28,1137,
"Anaheim, California, USA",ECS Season 2 Finals,2016-12-09,2367,"$660,000"
,Aftonbladet Fight Night,2015-04-13,1713,
Online (France),ESWC 2017 Qualifier #2,2017-10-22,3306,
,xfunction Challenger,2015-05-10,1754,
Online (Taiwan),ROG MASTERS 2017 Taiwan Qualifier,2017-08-13,3084,
Stockholm,ASUS ROG Community Challenge Grand Finals,2017-01-05,2642,
,RaidCall EMS One Fall 2013 Finals,2013-10-26,1245,
Moscow,Sawik Showmatch,2016-06-29,2213,"$50,000"
,ESEA Invite Season 18 Europe,2015-01-11,1624,
,Svecup Västerås Qualifier #1,2013-05-04,1118,
,RaidCall EMS One Summer 2013 Cup #2,2013-05-21,1135,
,Gaming.dk League by SteelSeries Season 8,2014-03-04,1329,
Sydney,ESL Australia &amp; NZ Championship Season 3 Finals,2017-05-20,2802,"$7,415"
,WESG 2016 India &amp; South-East Asia,0,2470,
"London, United Kingdom",Gfinity 2015 Summer Masters 1,2015-06-26,1620,"$80,000"
Online,Liga PRO Alienware GamersClub APR/17,2017-04-25,2831,"$2,300"
Online,Dolphin CS Shoot &apos;Em Up 2,2017-01-11,2645,"$1,270"
"Bangkok, Thailand",eXTREMESLAND 2017 Thailand Regional Finals,2017-09-09,3077,
Online,ESL Pro League Season 4 - North America,2016-08-17,2368,
Online,Dust2.dk eOddset Masters #7,2017-02-22,2698,"$1,793"
"Älmhult, Sweden",Nordic Masters Season 2 Finals,2016-02-19,2149,
,Go4CS:GO Cup #7,2012-09-18,971,
,THOR Open Qualifier #7,2012-12-03,1024,
,TaKeTV Showmatch,2015-03-05,1682,
Online,GameOn 2016 CS:GO Cup Qualifier,2016-10-08,2492,
Online (Europe),WESG 2017 Baltics &amp; Scandinavia,2017-10-17,3260,
,Fragadelphia 4,2015-03-23,1701,
Online,G:loot Cup Summer 2017 Qualifier 2,2017-08-03,3039,
Online (EU),Europe Minor Closed Qualifier - PGL Major Krakow 2017,2017-05-18,2822,
"Kuala Lumpur, Malaysia",ESL One Cologne 2015 Asian Qualifier,2015-07-18,1807,
,CEVO Professional Season 5,2014-07-15,1420,
,EMS One Katowice Polish Qualifier Cup #4,2014-02-07,1306,
,THOR Open Qualifier #8,2012-12-02,1027,
Online,99Damage Masters #3,2015-09-17,1943,"$20,000"
,IGL Lan Final,0,2309,
Online,MixBOT Pro-League Golden,2016-06-08,2280,"$25,000"
,GamePlan Summer,2015-06-09,1805,
"Bucharest, Romania",PC-Coolers League Season 2 Finals,2017-09-30,3223,"$5,000"
,EMS One Katowice CIS Regional Finals,2014-02-14,1312,
Online (SEA),DreamHack Masters Malmö 2017 India + SEA Open Qualifier,2017-06-12,2906,
"Mumbai, India",ESL India Premiership 2017 Summer Finals,2017-06-29,2909,"$10,985"
Online,WCA 2017 Italy Qualifier,2017-06-11,2910,
,99Damage Arena #12,2015-08-11,1884,
,ENTiTY Winter LAN 2017,0,2701,
Online,BREKAN LatAm North League #1,2016-12-08,2616,$110
,ESEA Invite Season 17 North America,2014-07-24,1404,
,King of Nordic Season 5,0,2543,
,Publiclir.se - 5on5 CS:GO by Qpad,2013-03-17,1086,
Utica,Omen Masters of Gaming,2017-07-21,3007,"$3,255"
Online,Headshot Cup #1,2017-04-08,2781,"$2,500"
,ESEA Invite Season 15 Europe,2013-10-20,1238,
Online (Mongolia),eXTREMESLAND 2017 Mongolia Open Qualifier,2017-08-15,3065,
Katowice,Intel Challenge Katowice 2017,2017-03-02,2662,"$30,000"
,World Championships 2015 South American Qualifier,2015-06-16,1814,
Online,QuickShot Arena #24,2016-09-28,2468,"$1,500"
,Swedish Championship 2013,2013-06-16,1153,
,ASUS ROG Nordic Challenge,2015-10-30,1994,
,ESPORTSM 2013/2014 - Qualifier #6 Stockholm,2014-05-03,1359,
Online (EU),DreamHack Open Montreal 2017 Europe Closed Qualifier,2017-08-27,3097,
,FACEIT League 2015 NA Closed Qualifier,2015-01-28,1639,
Online (Europe),WESG 2017 Britain &amp; Iceland,2017-10-05,3237,
,EB Expo Sydney 2016 Qualifier #3,0,2426,
,ESWC 2013 Female,2013-10-31,1252,
,ESEA MDL Season 23 Oceania,2016-11-17,2580,"$5,000"
,MWEB GameZone Masters Series,2015-10-03,1963,
Online,AdriaMasters by PVPRO.com Online Qualifier,2016-12-04,2607,
Online,Uprise Champions Cup Season 3,2015-07-06,1837,
,FACEIT League 2 EU Closed Qualifier,2014-08-25,1461,
"Seoul, Korea",Asia Minor - ELEAGUE Major 2018,2017-10-26,3249,"$50,000 + 2 spots at Main Qualifier"
,Tuddinn LAN 1 | 2015,2015-05-30,1788,
,Rising Stars South America #1,2016-01-15,2107,
"Lisbon, Portugal",Moche LPGO,2017-11-16,3358,"$7,670"
Online (NA),EPICENTER 2017 Americas Closed Qualifier,2017-09-19,3152,
,Fnatic FragOut League Season 3,2014-02-12,1310,
,Arab Gaming Championship 2017 Winter Open,2017-04-05,2768,"$8,165"
,ESPORTSM 2013/2014 Finals,2014-06-15,1387,
,DreamHack ZOWIE Open Winter 2016 Open Qualifier,2016-10-15,2522,
,Red Dot Closed Qualifier,2015-11-15,2016,
,FACEIT League 2 NA Closed Qualifier,2014-08-26,1462,
Online,ECS Season 3 NA Development League Open Qualifier #2,2017-02-26,2693,
,WESG 2016 Other Americas,0,2479,
Online (Denmark),Dust2.dk eOddset Masters #12,2017-08-23,3110,
,CyberGamer Qualifier Cup #1 by Tt eSPORTS,2012-09-13,966,
,ESL Pro Series France XI Cup #3,2013-10-10,1232,
,ESL UK SteelSeries Community Challenge S1 Finals,2014-06-30,1403,
Beijing,WCA World Contest Championship,2016-10-13,2508,"$119,000"
Århus,Dust2.dk eOddset Masters #9 Finals,2017-04-23,2824,
,Gamers League 2014 CS:GO Season 2,2014-09-28,1494,
Hong Kong,eSports Festival 2016,2016-08-21,2323,
,IEM Sydney 2017 ANZ Closed Qualifier,2017-03-31,2755,
,RGN 2016 Pro Series Open Qualifier,0,2192,
Online (EU),DreamHack Open Atlanta 2017 Europe Open Qualifier,2017-07-01,2948,
"Athens, Greece",Hellenic CS:GO League Season 1 Finals,2017-06-24,2941,"$2,240"
,QuickShot Arena #15,2015-11-19,2021,
"Bucharest, Romania",Europe Minor - PGL Major Krakow 2017,2017-06-15,2723,"$50,000"
"Svitavy, Czech Republic",RoG Finals 11,2016-12-17,2624,"$1,925"
,ESL Pro Series France XI Cup #4,2013-10-17,1243,
"Columbus, Ohio, USA",MLG Americas Minor Championship,2016-01-15,2068,"$50,000"
Europe (Online),Nations Elite Esports Cup European Qualifier,2017-11-18,3369,
,Asia Minor Oceania Qualifier - PGL Major Krakow 2017,2017-04-28,2788,
"Barvikha, Russia",CIS LAN Championship #2,2015-11-16,2014,"$10,000"
,ZOTAC World Cup,2016-10-24,2532,"$10,000"
,Uprise Champions Cup Season 2,2015-04-23,1668,
,RADEON Offensive by 99Damage,2012-12-04,1029,
Buenos Aires,Argentina Game Show 2016 Finals,2016-09-24,2421,"$1,340"
,D!ngIT $2000 Weekly Cup #13,2015-08-17,1891,
Online,D!ngIT $2000 Weekly Cup #18,2015-09-21,1946,"$2,000"
,D!ngIT $2000 Weekly Cup #5,2015-06-19,1817,
Online,FACEIT League 2015 Stage 3,2015-09-15,1937,
"Online (Europe, NA &amp; China)",SL i-League StarSeries XIV,2015-10-14,1970,
,CS:GO Legends Series #3,2014-10-13,1493,
Yinchuan,WCA 2016 Finals,2016-12-09,2599,"$195,500"
"Tunis, Tunisia",Esports Tunisian Cup 2016,2016-09-02,2415,
,WESG 2016 South East Europe,2016-09-14,2437,
,DreamHack Summer 2013 2on2,2013-06-17,1154,
,MSI Baltic Pro League Season 1,0,2274,
,Balkan Championship Season 2,2015-05-05,1746,
Online,World Championships 2016 North American Qualifier,2016-07-25,2331,
,ESL UK SteelSeries Community Challenge S2 Finals,2014-09-15,1483,
Online,DreamHack Regional Minor Championship Europe Open Qualifier #1,2016-04-23,2228,
,THOR Open Qualifier #3,2012-10-21,999,
