Name,Country,ID
xile,United States,5874
Steelseries,Australia,6097
Favorites,Denmark,1370
Abstinens,Sweden,2982
Na`Vi Staff,Ukraine,5890
Competitive,Denmark,7937
lan-sports.com,Portugal,784
PulseCore,United Kingdom,5349
soab,United Kingdom,1781
MyL,Morocco,2445
Conquest,Canada,6292
Aria,Serbia,7495
Brend,Sweden,2756
Trondheim Beavers,Norway,2814
Isurus,Argentina,7653
Hardstyle,Portugal,3965
unitize,Denmark,816
Phantoms,Portugal,2385
spiXel,Sweden,18
Gravitas Gaming,United States,580
Begrip,Sweden,2588
Never Stop Gaming,Denmark,294
MOB,Argentina,6001
stormcallers,Europe,4042
BIMBAMBOOM,France,5200
Ichorous,Lebanon,7166
team,Germany,5751
Blank.de,Germany,2117
MTW,Denmark,6286
Netherlands fe,Netherlands,2937
CHAOS,Lithuania,7197
Kartfols,Denmark,5506
FairPlay,Spain,2271
afterhack,Norway,1713
nuTeP,Russia,2299
seven,Iceland,6415
crashers,Brazil,1415
ABiB,Sweden,1915
burre,Sweden,2201
ZetMac,Denmark,7776
RedByte,France,4463
3DMAX,Finland,5789
eZone,Serbia,3537
SK Staff,Europe,6153
Magneticc,Poland,1813
Nexus Main,Canada,6458
Wild,Spain,8197
ARMADA,Serbia,6265
E-Frag,Other,4731
Progression,Netherlands,3181
NR,China,4433
Fendetestas,Spain,3030
FATAL,Russia,3444
Team Puzzles,Denmark,4845
HoA,Other,195
4BGT,United States,267
AbsoluteTerror,Japan,6349
Funkyboys,Norway,3870
FRAGGED BY,Georgia,4103
ProXima,Poland,8395
zitic,Denmark,1989
allhairy,Denmark,798
tff,Sweden,3700
Dynamo,Canada,5192
Sencia eSport,Denmark,4718
ULTRAFORCE,Germany,712
kent,Norway,2883
EGB.com Staff,CIS,6455
nxl,Indonesia,5258
Dank Deaglez,Sweden,7337
GOGOMYTEAM,Taiwan,7230
Wizards fe,Spain,3338
BYE,World,924
Evil Nation,Canada,6741
Escape Gaming,Sweden,837
myXMG,Denmark,5758
meetTHEwankers,Sweden,1702
defusekids,Belgium,585
Dragon Wave,Portugal,5575
Expert.Gaming,Norway,529
Revation,Sweden,1856
KUGLEPEN,Denmark,2715
Infused-Gaming,United Kingdom,1171
Reload,Australia,7067
autisme,Denmark,7750
Moldova,Other,490
SNOGARD fe,Germany,3291
RB,Serbia,6100
7sway,Russia,6013
Never Ending Pain,United Kingdom,1261
Americas All-Stars,United States,6900
GameDelux,Denmark,143
ZEN,Mongolia,7803
NoIntro,United States,566
Hardwire,Sweden,1397
phasmatis,Lithuania,3342
TEAM-RUSSIA,Russia,4062
Elipse,Denmark,1499
Phoenix,Germany,6575
sixty9,Brazil,2519
c4,Ukraine,3093
apEX,France,7032
LQQMPP,Sweden,6252
ViSA,Serbia,4341
Fr0zen Hellguardz,Sweden,533
Belgium,Belgium,5140
Douyu,China,7821
Romania fe,Romania,2938
;:;&apos;,Sweden,2033
ExAequo,Italy,6396
venom,Denmark,2591
Fictitious,India,7467
Nostalgie,Europe,5748
PruhGamers!,Denmark,701
NUMBAZZ,Ukraine,1539
DEFUSE2,Serbia,4256
Tortues Ninja,France,7584
Dai Dai,Brazil,7012
Cebrenis,Belgium,4764
Check Six,Canada,906
SistaMinuten,Sweden,4391
Problematic,United States,8548
PhrenetiK,United States,253
Luminosity,United States,6021
Kinguin,Poland,6134
IXL,United States,886
fm!Ladies,Europe,4810
PROJECT,Poland,3849
MASK 0N,United States,8317
einheit2,Spain,4033
HK,Finland,4076
Crew,United States,7690
reload,Hungary,3367
ATE Gaming,India,5012
The Foundation,United States,7590
suap ,Brazil,3117
Lioncast,Germany,6740
Defect,Sweden,1867
Tekweb,Norway,6843
noT,Algeria,871
de_iceland ,Sweden,4167
ghetto,Spain,1034
Bomb-Sight,Romania,2977
Osthyvel,Sweden,1824
PROTEA,South Africa,8528
LeiSuRe,Germany,2135
Evil Masterz Of Pain,Norway,27
northwards,Sweden,2197
Shooting Monkeys,India,8048
5G,Sweden,1440
afunction,Sweden,1441
Revival,Mexico,213
TBA,Kazakhstan,7245
Vikings,Denmark,4887
JAYOB,Brazil,6329
aineX,Bulgaria,2339
praetorians,Netherlands,596
Gubblagg,Sweden,1636
StarteR,Denmark,108
YourOwnMORACLE,China,6506
PARTY,Kazakhstan,6470
bringitON,Romania,3766
Infused,United Kingdom,4554
Accuracy,India,7464
PigsRUs,Denmark,5512
BIG,Germany,7532
ave,Denmark,1991
Liquid8,United States,6255
BST,France,5774
Equipo 8,Spain,1291
The Burgermen,Australia,7210
Bango-I-Karise,Denmark,5500
Mi9,Russia,5576
BarnSoldat,Sweden,1532
NothingbutGaming,France,5162
ZZCY,China,5798
zuttt,Sweden,8532
Deponeret,Denmark,5971
Crew5,Denmark,675
fnatic fe,Sweden,690
Invictus,India,7231
TSG,Brazil,6786
ex-Synthetik,United States,7965
HIO,Sweden,940
forZe|Xoma,Russia,1060
SpaceGoofs!,France,3470
reactionFragz,Hong Kong,2468
ImmuNe ,Denmark,4485
Silent,Argentina,3226
Prestige,Denmark,2882
zeh_gods,Sweden,1282
QuietPlease,Denmark,6666
i can see you,Sweden,163
HiqhRollerz 2,Denmark,1358
Tempest,Russia,6752
Valhalla,United States,5666
Golden Vipers B,Moldova,6136
GUS-Gaming,Russia,6439
mousesports,Germany,60
SJK,Finland,8013
Team-GALAXY,Sweden,2168
ALL STARS,Czech Republic,4972
UMass,United States,6571
Individuals,Denmark,1484
Teamprotech,Denmark,4918
forteam.ru,Russia,2058
E-Corp,France,6889
kexpz,Chile,7319
k1ck,Spain,6222
a2e,Turkey,5833
Motus,Canada,1783
VECA,Iceland,6628
fguru,Sweden,7004
Galaxy,United States,7572
mateness,Denmark,2711
iNTRO,Korea,7280
Available!,Australia,6380
Defuse,China,5977
Eat Deez Nuts,Argentina,8541
Xapso,Norway,5316
1337,Sweden,6168
GamerZ,Sweden,8006
ProGamers,Brazil,7125
manUplay,Finland,6023
tempteam,Norway,4207
Living Fire,United Kingdom,3565
RUZKI,Europe,6625
WindForce,Spain,5705
Best Boniatos Ever,Spain,8522
RIVALRY,Poland,3017
wNv Elite Fans,China,1182
dumbup,Spain,4268
pRecision.no,Norway,736
YNG Sharks,Brazil,8294
Equipo 4,Spain,1288
Property,Sweden,5319
Violent,China,4405
Fear the Reaper,United Arab Emirates,7991
Regret,United States,8164
EasyFix,Romania,5923
DeToNator,Japan,6192
#405,Sweden,1426
dyfu,Sweden,3289
Serbia,Yugoslavia,57
MadLore,Korea,6606
teamwork,Hungary,2469
zX9,Norway,3359
standby,Norway,1725
Dayton Dynamo,United States,895
NEx,Lithuania,1821
ggrabb,Sweden,5477
atLanteam,France,408
LDi,Sweden,3934
Coalition,United States,8059
flækkeholdet,Denmark,4919
ex-Gorilla Core,Brazil,8590
KrewHL,United States,567
suspect-zero,Norway,2766
unorthodox,United States,561
Hellslayers,Sweden,4762
BOXR,United States,6050
Museum,Russia,3004
NOX!UMAN,Chile,8095
DkH,Germany,173
newlyweds,Sweden,7412
Bibby &amp; The Boys,United States,8274
ren$eriet,Denmark,7796
teamasd,Russia,7819
Israel,Israel,384
Team DRW,Austria,401
Sri Lanka,Sri Lanka,6306
BLUEJAYS,Germany,5347
EleMeNade,Denmark,7757
Exotic fe,Norway,7706
6sense,Colombia,8097
SWAGWAN!,United Kingdom,5351
Precision Gaming,Canada,6056
PinG,Moldova,3376
AIMNESIA,Serbia,4258
simpleX,Macedonia,1152
AWESOME,Denmark,5060
eXelon,Finland,2009
violence.usa,United States,896
edge7,Taiwan,2643
420BlazeIT,Europe,5959
pipoo,Sweden,6650
elemeNt,United Kingdom,4395
villains,Norway,1721
Queens of Norway,Norway,5521
Earthroot,Canada,7414
arabsyndikatet,Sweden,937
FFxdKek,United States,7722
state21,Ukraine,2507
Cold As Ice,Sweden,872
The Mooninites,United States,6429
Insula,Portugal,3608
tbd,Europe,8018
Nuggets,Spain,1032
SENSATIONS,Denmark,133
Optimum,Denmark,6671
walking head,Germany,5883
paratus,United States,893
SAYCOM fe,Poland,2930
Wings.Blue,China,7976
GRAND,Russia,4107
underdogs,United Kingdom,4402
4dimensioN,Japan,7108
LGB,Norway,5962
ViCi,China,7606
Nearly God A,Other,482
Raw,Finland,1855
GameWorld ,Sweden,3195
69ers,Germany,5765
IO 2003,Sweden,2078
Firstblood.dk,Denmark,4809
HLTV.org Staff,Europe,5899
wasd.AMD,Romania,3810
Opal Fruits,United Kingdom,4795
shArkz,Portugal,5029
dcocks,Hungary,3769
Problem,Poland,8337
4dN!PSYMIN,Japan,227
CPH Wolves CS:S,Denmark,4185
TEC,Russia,3131
lastshow,Spain,434
fourdimension,Japan,181
Eat You Alive,Taiwan,6682
szczelamy fe,Poland,2825
Black Ravens,Poland,5878
Klister,Sweden,1623
France,France,5142
vitalsigns,United Kingdom,2737
pandorum,Portugal,3589
PAUSE,Sweden,1482
Display,Portugal,2580
ECO.COBRA,Brazil,2514
noname,Ukraine,2893
Ameriflora,Japan,5469
Electronic Sahara,France,3266
Russia,Russia,5138
Anti Liliy,Japan,8261
varps,Ukraine,2439
snook.ch,Switzerland,3220
YATB,United States,8313
man1a\foxy,Bulgaria,1117
Mostly Harmless,Canada,6057
Backfire,United States,3065
PROPAGANDA ,United Kingdom,3305
Fraglerne|,Denmark,1475
Ireland,Ireland,531
olds,Romania,3510
Suecia Vincere,Sweden,7696
MIXCAT,Finland,6344
Raw Gaming,Sweden,367
T5,China,7945
n!faculty female,Germany,1450
Check-Point,Poland,8482
Vengeance,Romania,6026
Tunisia,Tunisia,6279
mp,Sweden,3582
exceL Endpoint,United Kingdom,7623
Blight,United States,7105
iNation,Serbia,4803
advolo,Norway,1740
One-Tapz,Saudi Arabia,7993
Atlantic7,Spain,1025
r2r,Denmark,5510
GreenTown,Moldova,5299
Emc,Hong Kong,6422
#SKAM,Norway,7676
DBJP,Poland,3886
Ambition,United States,7591
SYDSVENSKAN,Sweden,1594
Nface,China,4864
Vengeful,Kuwait,7729
austral,Estonia,3205
Vox Eminor,Australia,4784
SAD,Belgium,1654
HLTV.org,Europe,2647
Lions,Norway,4736
epidemic,Norway,2463
GetFight,Russia,4567
Dethrone,United States,6047
US fe,Poland,2832
subway,Denmark,805
GiFiltaFish,Denmark,4394
ICHORxcn,Other,197
icetouch,Switzerland,2214
somalia,Germany,7181
sourcad,Sweden,1097
Syrtex,Norway,770
ieS.bg,Bulgaria,2335
Positive,Ukraine,2913
Frenemies,United States,5549
SY&amp;_b,Australia,5605
puta,Denmark,2682
Aerosol,Estonia,3986
SMAZING,United States,7587
Rockstar,Norway,3415
Alpha Pro,Brazil,7460
Conny,Sweden,1275
RG-Esports,Sweden,3138
GCG,Germany,7508
Absolute,Chile,6465
CELPH,Iceland,3623
Extremadura,Spain,2332
Games4u,Sweden,2071
INFIGHT,Sweden,7742
SNOGARD Dragons,Germany,4938
zGaming,Denmark,2879
face!,Denmark,3499
DOK,Netherlands,2267
evium.IT,Denmark,1196
Good People,United States,8349
nemt,Denmark,4372
Gubbs,Sweden,4304
hiGhTiME,Russia,4080
COLEK,Czech Republic,4973
Switzerland,Switzerland,48
unplayable,Germany,2431
MagicPLAY,Poland,3519
Inzania,Denmark,678
Nacho Online Gaming,Denmark,121
iRage.mix,Denmark,3257
Shaqadelic,Denmark,2710
Japaleno,Sweden,7144
vvob,Sweden,2185
Urbanjungle,Portugal,2922
1st.VN,Vietnam,2029
Win,Sweden,1583
pro100|raz0r,Ukraine,1075
Taiwan,Taiwan,7043
plan-B,Norway,4826
XPD,Bulgaria,783
Virtus.pro,Russia,4555
Generation Digital,Tunisia,6645
neWave,Serbia,2019
PES,Australia,5294
Made in Algeria,Algeria,6644
esu,Sweden,1699
NextGaming,Italy,4595
3DMAX,France,3478
ZIR,Denmark,131
BOT,United Arab Emirates,7347
arctinium,Germany,1304
Tutex,Sweden,3698
KYKYRYZINA,Russia,3175
TheAkatsuki,Russia,3876
99problems,Russia,3666
ieS.de,Germany,3775
Gamers Choice,United Kingdom,459
Torpedo,Sweden,6287
Vicious and Evil,Sweden,2758
GIVE IT ALL ,Norway,4487
inzania,Sweden,526
nKnown fe,Germany,6877
Almost Famous,Sweden,22
WLTPT,Slovenia,2441
LANELITEN,Sweden,1920
tp.uSports,Russia,4235
torri,Norway,1078
SoA|Arcadion,Denmark,1139
DWG,United States,6012
meat,Ukraine,2899
AC4E,Germany,4520
InFlames,Russia,7201
B2Gaming,United Kingdom,5563
Revation,Norway,1978
hittasista,Sweden,7910
Pontus Bill,Denmark,2552
ROG fl0m,United States,7538
CH0Pe,Spain,3018
malefiQ,Iceland,6072
KKona,Canada,6794
Glory,United Arab Emirates,7810
rectum,Estonia,2474
Sniper Squad,Russia,7522
5Love.N4,China,7093
DENiED,Europe,6064
ECVisualize Academy,Denmark,7756
ODIE,Germany,2095
ZAR-Gaming,Denmark,4880
Stacked Like Pancakes,Australia,7519
Wolves,India,5741
TBH,Switzerland,1331
shox,France,6934
Asesinos Letales,Spain,2275
OK2STRONG,United States,5914
NuMbErS,Sweden,1905
cMg,Russia,3179
SL Talents,Europe,7215
Engine,France,5196
North Stars United,Canada,1986
1SLAND,Sweden,1108
ethnics,France,2744
Gamecenter,Sweden,2189
myMDL,Finland,5826
GameWorks,United States,578
amicizia,Portugal,3966
Pink Penguins,United States,7221
FRAGMiNE,Estonia,2472
Team_team,Sweden,1049
DreamEaters,Russia,8305
problemos?,Denmark,647
dZ.SpilA,Denmark,1971
Lokalen,Sweden,4065
Redical,Sweden,1404
Empath,United States,6529
NorthernGrade,Portugal,5525
myRevenge,Venezuela,7788
Kukulkan,Mexico,8115
Zeta Strike,Chile,7320
ISKOLD,Sweden,5999
whatsup,Kazakhstan,8340
Freedom Fraggers,United States,8564
n!faculty fe,Germany,4677
SOLDATS,Brazil,1417
Dignitas,United Kingdom,462
Duskbin,Hong Kong,5071
E-Magine,United Kingdom,3301
Eternity Gaming,Bosnia and Herzegovina,3426
Godmod,Russia,3672
nGa,Lithuania,3486
eMazing Gaming,United States,878
Cannabis Group,Ukraine,2887
imaginet,Spain,1031
noas,Denmark,2104
Guimaform,Portugal,3354
TEK9,Belgium,1546
Atlantic,Sweden,6649
hASSeLsNOk,Sweden,8279
X7-Hacker,China,869
Tikkurilan Turistit,Finland,4663
STRONG3R,Russia,7422
jsuog,Spain,3635
coREA,Israel,8212
SNEAKY,Spain,4280
Gameroid,Denmark,3253
endeffect.be-quiet,Germany,711
Intuition,United Arab Emirates,3644
PixelFire,Poland,6675
PlayNation,Europe,5026
Chicken-Project,Portugal,3594
BFS,Estonia,7513
Karnage,Sweden,5498
CyberPc,France,5329
deadweight,Norway,6944
se7en,France,1685
qunky,Denmark,326
hydrate,Denmark,705
Finland,Finland,5136
Max,United States,3070
NovoGaming,Denmark,4883
Final,Germany,8027
eFuture,China,6635
SP,China,2425
DINOSOWER,United States,5551
Me-Ladies,Netherlands,638
31337,Poland,5801
WWND fe,Poland,2826
burn,Finland,2314
Movistar Riders,Spain,7718
Team Bardolph,Other,8142
f,Romania,3826
Global Gaming,Denmark,841
frag-online,Germany,1313
Malvinas,Argentina,8121
France,France,37
cfg-base,Germany,1553
impossible,Ukraine,2506
SEAL,Poland,8361
feelingood,Romania,3822
Faija.cs,Finland,1708
MANBEARPIG ,Canada,3141
Team ddk,Other,8141
MaveN,Korea,203
OPENBALA,Brazil,8029
youSee,Denmark,1502
DAskoen,Sweden,2170
Mortality,United States,6164
UNiTED,Russia,2593
QPool,Germany,168
dynamic,Bosnia and Herzegovina,3728
zeDanes,Denmark,4067
Misfits,United States,7557
High Five,Germany,3856
ArcticNova,Norway,3103
Genus,Portugal,7076
Keita-Gaming ,Sweden,4163
Gamers.nu,Sweden,17
TicoGamers,Costa Rica,3110
88-gaming,Russia,617
FT,Taiwan,7323
Global E1337s,Other,6980
Veritas,Serbia,3622
4Kings,United Kingdom,4516
elements,India,7389
DELTA,Poland,1176
Legends,Ukraine,3362
seized,Russia,6932
GRUBERTALER,Denmark,3942
fu-uNreaL,Slovakia,1121
mYstix!,Europe,5427
cno|ferrid,Netherlands,1065
Gran Turismo,Bulgaria,2974
n0ll-k0ll,Sweden,2153
LUUMU,Finland,948
Puttana,Macedonia,4151
VeryGames,France,4467
3 NEW 2 OLD,Hong Kong,7111
TarmTomtarna,Sweden,965
RAKE7A,Russia,5146
Dynamic 5,Denmark,7755
lolmode,Sweden,1607
ENEMIES,Bulgaria,7656
Carebox,Sweden,2362
Excellence of Execution,India,8461
Jaguar SA,Venezuela,7791
Anxiety Pack,Poland,6330
rusten?,Denmark,2702
Local5,United Arab Emirates,2005
3DMAX,Denmark,4448
Crack Shots,Denmark,5503
CDN,Brazil,4321
The Trash Pandas,Australia,7384
MALIK,United Kingdom,6092
EDITME,United Kingdom,6521
AlienTech.Black,Portugal,6130
BRK,Brazil,8579
Heaven&apos;s Devils,United States,8156
TDB,Germany,5856
THE PANTHERS,Finland,6022
eucalyptus,Sweden,2638
Force of Will,United States,237
k1ck.es,Spain,1692
vuSti,Denmark,122
DTA,United States,7563
Neutralize,Denmark,1367
Shooters,United States,4753
FURIA,Brazil,8297
VB Mate,Australia,6095
iNation,Serbia,3419
EXTREMEFAST,Portugal,7809
Refuse,Sweden,4932
Team TX,United States,541
MordoKuli,Denmark,388
Falood Jacksons,United Arab Emirates,5166
zeroonesix,Sweden,2238
Madrid,Spain,2333
njutd,Sweden,2207
CryztalMania,Sweden,1642
Starhunters,Denmark,4724
TyLoo.raw,China,220
Velocity,United States,8060
Rebound Gaming,Denmark,4712
iShop,Sweden,3335
Cursnamic,United States,4667
New4,China,4865
Kurt Rambis Fan Club,United States,5467
Sherides,Sweden,1616
eXperience,Serbia,3677
Exertus,United States,5086
CHEFROTTEN ,Denmark,4814
pashaBiceps,Poland,6157
BOT Bardolph,Other,7078
CERUS,United States,7621
p@p@d@s,Spain,6217
Ninjas in SKjortor,Sweden,2639
HNCE,China,8336
poison attack,Ukraine,3911
Toysoldiers,United States,270
tba.ladies,Germany,6695
tempus moriendi,Poland,2100
ReSpawn.dk,Denmark,822
Custokuli,Denmark,476
mousesports,United Kingdom,4465
MAD Lions,Spain,8362
Entropy,Europe,7120
GAMEMADNESS,Denmark,1760
OBEY,Denmark,4861
ComHem,Sweden,4210
Loading,Sweden,4093
EHOME.Female,China,7369
SUBLiMINAL,Serbia,4262
GETHYPER,Denmark,4723
TACO.RED,Finland,7644
Unibet,Spain,447
At7.netpoint,Spain,443
Candy Camel,Singapore,8112
iPLAY,Germany,4491
mPLAN female,Germany,2690
Nothing Personal,Russia,5848
amba,Sweden,5183
xloxlo,Norway,1711
TANTRUM,Denmark,7628
Prustenkrucken,France,3746
VIST,Russia,3443
ALSEN,Poland,4534
figure05,Lithuania,3204
Gaming.CO,Spain,3606
B@M,United States,3077
nolike,Belgium,1667
nex-Gaming,Denmark,3548
sweda,Sweden,3059
Bens Anime Team,United States,7226
nuBreed,Serbia,5230
CREW,Turkey,8492
Norway,Norway,5108
anizz,Denmark,1228
Frestelsen,Sweden,4206
Cyborg Factory,Czech Republic,5836
GGWP,Belarus,5970
YCNI.CBS,Sweden,2688
Wisefrag,United States,7689
Leapfrog,Singapore,7270
edepol,Sweden,6963
chupakabras,Latvia,7925
Torment Down,Mexico,8012
PlayNation,Serbia,3523
DMEEK,Denmark,2554
PLAYZONE,Denmark,6982
Quit,Russia,5950
hesspartiet,Sweden,4220
legendary,Denmark,2719
CC+,Canada,2436
rumble,Austria,3903
BANDIT3N,Germany,3028
IMPULSE,United Arab Emirates,2002
North Academy,Denmark,7713
RTWA,Sweden,6359
FAITH.IC,Brazil,3149
Money Makers,Peru,4309
Mkuu,Denmark,4189
Anonymous,Australia,8104
dominators,Estonia,2565
Gameproof,Sweden,1940
Tog,Denmark,6836
Devious ,Singapore,6193
Abou,Sweden,3039
3.14RNE,Denmark,615
Fame,Ukraine,3097
GARAGEKLAN,Sweden,2348
Competition,Other,5011
thalRISE,Poland,5344
MVW,France,7565
n00t n00t,United States,7560
Immortal7,United States,2500
excello-old,Denmark,1010
KD-Gaming,United Kingdom,2736
AdNauseum,Norway,619
4Given,United Kingdom,458
Quintic,United States,6254
Vita,Norway,1599
reaspel,Sweden,3716
Elysium,China,6750
Remo Brave,Brazil,6587
Telos,Denmark,6845
Slovakia,Slovakia,58
Greece fe,Greece,2940
Project Lunacy,Serbia,7327
Team.oAs,Denmark,1491
fofos gaming,Slovakia,2133
LD,Sweden,1040
SnG,Belarus,4244
Asterion,Netherlands,7299
Memento Mori,Denmark,4600
svartvitt,Sweden,3320
0000,Other,7259
ESEA Skills,Other,5010
IMT,Serbia,3685
Wyvern,Sweden,6199
Prior,Russia,2837
SZ,Russia,4245
g0i,Sweden,1639
myXMG fe,Norway,5770
FCUK fe,Ukraine,2835
Phenomenon,Russia,6167
SPÜRHUNDE,Germany,5130
VLR,Norway,352
ArmaTeam,France,80
Ziomki,Poland,5913
Mostly Homeless,Canada,6975
juliano &amp; zAAz,Sweden,7827
Reawakened,CIS,7426
Fueguitos,Argentina,7603
PLP,Canada,3166
WHAT!,United States,7573
Fleks &amp; Kapio,Germany,1263
myRevenge.bg,Bulgaria,2340
Lol Yeah,United States,8160
High Rollers Gaming,United States,4641
Virtual Impact,India,5742
DEMO!!!!,Denmark,4126
Crave Gaming,Sweden,4870
Equilibrium,Portugal,5619
nwnl,United States,7224
4NOT,Australia,5604
Xray-Gaming,Denmark,608
noname,Sweden,1530
MM3,United States,5678
gBots Club,Spain,5628
Guerrilla Tactics,United States,7882
A Walk To Remember,Sweden,8307
NetworKingz F16,Germany,710
saB,Serbia,2446
Weekend Warriors,United States,8501
Maximum experience,Sweden,637
CYGANS,Romania,6027
0hrs past 2 weeks,Denmark,4130
CheckSix,United States,8351
Dimension 5,Singapore,7352
MAXIMUSS,Sweden,8293
MOTV,Philippines,6355
GameAgents,Hungary,6652
Dingo-Leet,Denmark,1348
Central,Bosnia and Herzegovina,3732
forZe.nl,Netherlands,72
snT,Belarus,4072
Babel,Sweden,3572
H8ED,Sweden,1826
Iceland,Iceland,51
white power,Russia,1043
CD,China,2524
Sweden fe,Sweden,2954
eQuilibrium,Portugal,4252
LEFTOVERS,Poland,7345
VeritasAequitas,Sweden,7586
FoxamoX,Denmark,6066
POLANDBASEE,Poland,3900
Team aslak,Finland,4996
RELiABLE,United States,5095
murkka,United States,3981
Just.MSI,Denmark,7180
Qunky,Denmark,694
RuSh3D,Russia,4610
Home Dominant,Bulgaria,2336
cArpegamer,Brazil,3483
eXtasis,Chile,6462
Core Impact,United States,8247
Expert.Gaming,Sweden,1436
GFO,Poland,2526
feel.it,Austria,1314
Raiders,Spain,7520
OCP,United States,5557
of DooM,Denmark,1195
anoniempjes123,Belgium,8108
ex-USSR,Poland,6574
Battle,Sweden,992
TOA,Turkey,8055
wo4.hs,United Kingdom,3304
GRAND JOUEUR INTERNET,France,5468
KeftenLaO,Sweden,2146
Pentagram,Poland,205
Rize,Finland,5185
Lazy,Korea,6603
mix.nfa,Denmark,1496
zxcv,Japan,8323
Imaginary,France,4615
epuRate,France,4369
pod,Germany,65
KiRbYtEaM,Denmark,3348
Defying Gravity,Russia,7190
kachow!,Denmark,634
Luminosity,Brazil,6290
E.Gaming,Norway,524
seks kå,Denmark,651
Nomad,Korea,7071
You Will Die,Brazil,3160
BlackFade,Sweden,2374
UNDERCAT$,Germany,5123
WOOSAH,United States,6055
Kings,Australia,8021
wrAth,Czech Republic,4217
MiGZ,Denmark,640
182,Sweden,4295
NASR,United Arab Emirates,8211
CHIKARA,Macedonia,4316
SK|fisker,Sweden,902
xTz,Brazil,3116
Narin,United States,5556
Latin Consortium,Denmark,3109
Restyled,Sweden,1880
Imbalance,Russia,2666
CMDY,United Kingdom,3186
Eu4ia,Other,403
INRI,Austria,5406
CL_templay,Denmark,1966
Orbit,Sweden,5766
whatever,Serbia,3961
BIRDIE,Denmark,2700
Ninja turtles,Turkey,5051
H5,Russia,3664
Wild,Chile,7333
GrayFace,Sweden,6122
Boreal,Canada,5718
archo,Denmark,115
DetonatioN,Japan,7493
FG.Embrace,Sweden,4199
WATERMELOWN,Singapore,5530
G2V,Spain,7683
Absolute Unit,Korea,6479
KF3,Norway,775
FTW fe,Portugal,8525
Isurus,Argentina,4427
Rstar,China,6634
LOK,Serbia,4136
e2g,France,4174
